landuse,area_m2,population_density,population_estimate,density_level,lat,lon
residential,9555.54695256673,9500,90.77769604938393,yüksek,38.58946457059214,39.786157721463695
residential,364912.6344911387,9500,3466.670027665817,yüksek,38.58889884379824,39.789640051604316
residential,5512.736649910946,9500,52.37099817415398,yüksek,38.4453431562371,39.52618121357545
residential,35035.74501754117,9500,332.8395776666411,yüksek,38.6278792309577,39.84454001851484
residential,58832.94719559596,9500,558.9129983581615,yüksek,38.60048648735427,39.75030810339463
residential,39042.07835990915,9500,370.89974441913694,yüksek,38.556474747778296,39.79035349484132
residential,24606.258262398867,9500,233.75945349278925,yüksek,38.58866349012581,39.78406904961554
residential,40409.77514298833,9500,383.89286385838915,yüksek,38.43907614531481,39.52890867782846
residential,74321.95456462856,9500,706.0585683639713,yüksek,38.59171654953863,39.78029921984667
residential,78108.50284133964,9500,742.0307769927266,yüksek,38.60437522285304,39.814488860923994
residential,415136.52103538695,9500,3943.796949836176,yüksek,38.462271864763274,39.8623763044695
residential,5445.961233994531,9500,51.73663172294805,yüksek,38.45979032523674,39.84400473171071
residential,15212.35646658192,9500,144.51738643252824,yüksek,38.45948970739186,39.86325990440772
residential,6880.662354105823,9500,65.36629236400532,yüksek,38.503138100816756,39.98612540794967
residential,9323.22145700052,9500,88.57060384150493,yüksek,38.50295974412016,39.99111905781636
residential,11113.4348883485,9500,105.57763143931075,yüksek,38.502522402263274,39.98833585007289
residential,16876.280324190313,9500,160.32466307980798,yüksek,38.49990970524825,39.996356638259066
residential,11188.232363833074,9500,106.28820745641421,yüksek,38.50137634096274,39.99592097461563
residential,18571.223882638173,9500,176.42662688506263,yüksek,38.49996615487523,39.99480511133447
residential,44521.77357683019,9500,422.95684897988684,yüksek,38.50453957895475,39.98961442560069
residential,23491.8311232133,9500,223.17239567052633,yüksek,38.504535958485974,39.986925816527155
residential,94542.45920233126,9500,898.1533624221469,yüksek,38.69331996172042,39.88698428393971
industrial,1125379.8700180894,1200,1350.4558440217072,düşük,38.65412407805208,39.77051359841642
residential,127557.90520554772,9500,1211.8000994527035,yüksek,38.71519029678493,39.67903443678758
residential,369965.1534542144,9500,3514.6689578150367,yüksek,38.7689273393972,39.987009814599084
residential,292274.0947036889,9500,2776.603899685045,yüksek,38.73537283558217,39.91978873185373
residential,34316.38698000178,9500,326.0056763100169,yüksek,38.70475614452,39.59579738496053
residential,31974.06551465456,9500,303.7536223892183,yüksek,38.772336869334225,39.98367259847536
residential,69111.04255125346,9500,656.5549042369079,yüksek,38.687661201144834,39.69631068074303
residential,51130.681477094855,9500,485.74147403240113,yüksek,38.71039792042339,39.615281646637435
residential,16789.18037924396,9500,159.49721360281762,yüksek,38.70190660239708,39.58418084733579
residential,65657.1036290266,9500,623.7424844757527,yüksek,39.162705579568566,40.22967703538786
residential,6274.414261320966,9500,59.606935482549176,yüksek,39.1556333915562,40.240995140877295
residential,95712.23637623248,9500,909.2662455742086,yüksek,39.155000081634014,40.212724501561475
