name,highway,length_m,importance
Alacakaya - Maden yolu,secondary,1450.1683955188078,4
Alacakaya - Maden yolu,secondary,1791.7393458459032,4
Alacakaya - Maden yolu,secondary,2002.1429372380155,4
Alacakaya - Maden yolu,secondary,2002.1429372380155,4
Alacakaya - Maden yolu,secondary,3021.3523811099403,4
Alacakaya - Maden yolu,secondary,3361.55896291244,4
Alacakaya - Maden yolu,secondary,4823.016548651081,4
Alacakaya yolu,secondary,2051.453078509118,4
Arıcak yolu,secondary,4394.518377092911,4
Arıcak yolu,secondary,3930.765816814336,4
Arıcak yolu,secondary,9215.752623947501,4
Kayranlı yolu,tertiary,2304.521971274957,5
,residential,192.73372245340164,6
,residential,283.307271599149,6
,residential,812.3176311921985,6
İncebayır yolu,tertiary,3514.513104709449,5
Çakmakkaya yolu,tertiary,4681.434354049908,5
,tertiary,981.2176638931297,5
,tertiary,2689.9211894366554,5
,residential,805.2398707954666,6
,tertiary,51.8518393548075,5
,tertiary,40.089119712725136,5
,residential,155.49531014593214,6
,tertiary,1797.1996643863818,5
,tertiary,3194.472407257252,5
,tertiary,2176.101832559707,5
Esenlik yolu,tertiary,4154.34306566512,5
,residential,209.63338250783352,6
,residential,759.844040482446,6
,tertiary,3514.847200135714,5
,tertiary,2685.834890026137,5
,tertiary,3797.6734647416147,5
Çanakça yolu,tertiary,1873.606118592109,5
Çataklı yolu,tertiary,5777.59174599139,5
,secondary,78.26997808199104,4
,secondary,43.049573293083824,4
,secondary,72.92925862336115,4
,secondary,3682.731408188796,4
,secondary,3682.731408188796,4
,secondary,2949.169562437365,4
,secondary,5771.232630899324,4
,secondary,21.396023960654038,4
,secondary,2001.2834141455974,4
Arıcak yolu,secondary,40.54676303150987,4
Arıcak yolu,secondary,7565.688328979076,4
,tertiary,5364.346963504963,5
,residential,231.35313752445097,6
,tertiary,5228.703257002974,5
,residential,1744.2127774007308,6
,tertiary,1704.0273666151006,5
,tertiary,1508.9692227316582,5
,tertiary,9827.377343536484,5
Çaybağı yolu,secondary,8534.004623787414,4
,residential,670.2988688715261,6
,residential,412.04733743094795,6
,tertiary,1474.1474181936949,5
,residential,919.8513213041222,6
,tertiary,945.3153763396915,5
,residential,429.8858440368933,6
,residential,860.9269711502401,6
,tertiary,1056.9576511047594,5
,tertiary,1672.3251097356238,5
,residential,970.8602276967431,6
,tertiary,31.199410807205794,5
,tertiary,35.65471328431329,5
,tertiary,61.67526888638404,5
,tertiary,1559.5416037957946,5
,residential,1014.0061975215604,6
,tertiary,4121.1203414810325,5
Çaybağı yolu,secondary,2149.181140283632,4
,residential,126.88903530959729,6
,residential,435.8692654198398,6
,residential,74.94457516977138,6
,residential,265.96098713847164,6
,tertiary,4116.990553821625,5
,tertiary,1743.0360091762814,5
,tertiary,1743.0360091762814,5
,residential,290.23908921850733,6
,residential,289.73936083738334,6
,tertiary,324.0114440845516,5
,tertiary,2024.2608227484252,5
,residential,490.8614091394566,6
,residential,446.8927884103652,6
,tertiary,2727.182797772105,5
,tertiary,1742.4648746188693,5
